"Order","Category","OrganizedFile","OriginalFile","Width","Height","SizeKB","Description"
"1","00_misc","01_signature_declaration_image8.png","image8.png","284","110","4.2","Declaration signature image"
"2","01_intro_examples","02_figure_1_ai_calorie_estimate_example_image19.jpg","image19.jpg","922","2048","178.7","Figure 1 intro example"
"3","01_intro_examples","03_figure_2_ai_calorie_estimate_example_image17.jpg","image17.jpg","922","2048","178.6","Figure 2 intro example"
"4","01_intro_examples","04_figure_3_ai_calorie_estimate_example_image15.jpg","image15.jpg","922","2048","189.1","Figure 3 intro example"
"5","02_system_design_diagrams","05_figure_4_system_architecture_image12.png","image12.png","2048","890","163","Figure 4: System Architecture - three connected pipelines sharing Supabase and Gemini services"
"6","02_system_design_diagrams","06_figure_5_three_step_rag_pipeline_image9.png","image9.png","2048","131","49.4","Figure 5: Three-step RAG Pipeline"
"7","02_system_design_diagrams","07_figure_6_portion_estimation_methods_image11.png","image11.png","1586","2048","321.8","Figure 6: Three portion estimation methods"
"8","03_app_ui_screenshots","08_login_screen_image3.png","image3.png","530","1108","103.2","App UI: Login"
"9","03_app_ui_screenshots","09_dashboard_screen_image21.jpg","image21.jpg","922","2048","115","App UI: Dashboard"
"10","03_app_ui_screenshots","10_editing_nutrition_screen_image16.jpg","image16.jpg","922","2048","83.6","App UI: Editing Nutrition"
"11","03_app_ui_screenshots","11_history_screen_image18.png","image18.png","475","924","296.9","App UI: History"
"12","03_app_ui_screenshots","12_photo_taking_screen_image4.png","image4.png","405","937","48.8","App UI: Photo taking"
"13","03_app_ui_screenshots","13_after_analysis_screen_image2.png","image2.png","411","939","349.9","App UI: After Analysis"
"14","03_app_ui_screenshots","14_detail_information_screen_image6.png","image6.png","408","928","236.8","App UI: Detail information"
"15","03_app_ui_screenshots","15_profile_screen_image14.png","image14.png","417","934","122.6","App UI: Profile"
"16","03_app_ui_screenshots","16_chat_suggested_questions_screen_image7.png","image7.png","412","934","149.7","App UI: Chat page with suggested questions"
"17","03_app_ui_screenshots","17_chat_response_screen_image22.jpg","image22.jpg","922","2048","197.8","App UI: Chat response"
"18","03_app_ui_screenshots","18_arcore_mobilesam_screen_image13.png","image13.png","408","936","426.7","App UI: ARCore + MobileSAM"
"19","04_testing_evaluation_charts","19_figure_7_baseline_vs_rag_mae_bar_chart_image23.png","image23.png","2000","1200","85.3","Figure 7: Baseline vs RAG MAE bar chart"
"20","04_testing_evaluation_charts","20_figure_8_calorie_prediction_scatter_plot_image1.png","image1.png","2048","1024","146.4","Figure 8: Scatter plot of calorie predictions for 50 foods"
"21","05_data_tables_and_reference_images","21_figure_9_measured_food_portions_image20.jpg","image20.jpg","1039","2048","116.7","Figure 9: Ten portions of food manually measured"
"22","04_testing_evaluation_charts","22_figure_10_portion_estimation_error_chart_image10.png","image10.png","1040","473","32.7","Figure 10: Error comparison chart of three portion estimation methods"
"23","05_data_tables_and_reference_images","23_figure_11_missing_fat_values_database_image5.png","image5.png","931","387","31.3","Figure 11: Missing fat_g values in extracted CFS database"
